znacka,model,cena,rok,stav,najeto,vykon,palivo,kapacita_baterie,prevodovka,pohon
Škoda,Superb,340000,2016,Ojeté,228069,140,Nafta,0,Automatická,
Dacia,Duster,180000,2017,Ojeté,149609,80,Nafta,0,Manuální,4x4
Škoda,Octavia,100000,2010,Ojeté,211625,77,Benzín,0,Manuální,
Škoda,Superb,249000,2015,Ojeté,314000,,Nafta,0,,
Mercedes-Benz,Třídy C,899000,2021,Ojeté,95000,162,Nafta,0,Automatická,
Volkswagen,Tiguan,460000,2018,Ojeté,145317,110,Nafta,0,Automatická,
Hyundai,i20,260000,2020,Ojeté,22498,62,Benzín,0,Manuální,
Škoda,Kodiaq,490000,2022,Ojeté,183520,110,Benzín,0,Manuální,
Renault,Mégane,70000,2011,Ojeté,239475,81,LPG + benzín,0,Manuální,
Volvo,V60,569000,2020,Ojeté,97985,110,Nafta,0,Automatická,
Škoda,Superb,470000,2019,Ojeté,205484,140,Nafta,0,Automatická,4x4
Audi,RS Q8,2640570,2020,Ojeté,102820,441,Benzín,0,Automatická,4x4
Škoda,Octavia,330000,2018,Ojeté,128821,132,Benzín,0,Manuální,
Cupra,Formentor,605000,2023,Ojeté,44923,110,Benzín,0,Automatická,Pohon předních kol
Volkswagen,Tiguan,390000,2017,Ojeté,149068,110,Benzín,0,Automatická,
BMW,Řada 1,270000,2012,Ojeté,111000,115,Benzín,0,Automatická,Pohon zadních kol
MG,ZS,480000,2025,Předváděcí,12934,85,Benzín,0,Manuální,
Volkswagen,Golf,330000,2019,Ojeté,64129,85,Benzín,0,Manuální,
MG,ZS,490000,2025,Předváděcí,16642,85,Benzín,0,Manuální,
Škoda,Kodiaq,940000,2022,Ojeté,42400,140,Benzín,0,Automatická,4x4
Škoda,Karoq,630000,2023,Ojeté,78351,110,Nafta,0,Automatická,4x4
MG,ZS,370000,2024,Ojeté,33098,78,Benzín,0,Manuální,
Audi,Q3,927000,2023,Ojeté,37137,110,Nafta,0,Automatická,4x4
Škoda,Karoq,470000,2021,Ojeté,86574,110,Benzín,0,Manuální,
Hyundai,i30,160000,2015,Ojeté,191343,81,Nafta,0,Manuální,
MG,ZS,480000,2025,Předváděcí,10584,85,Benzín,0,Manuální,
Ford,Kuga,220000,2014,Ojeté,183527,110,Nafta,0,Manuální,
Volvo,S90,1025000,2024,Ojeté,25129,335,Hybridní,0,Automatická,4x4
Škoda,Superb,530000,2019,Ojeté,186852,200,Benzín,0,Automatická,4x4
Dacia,Duster,200000,2016,Ojeté,114998,84,Benzín,0,Manuální,
Hyundai,i30,230000,2018,Ojeté,94601,88,Benzín,0,Manuální,
Škoda,Kodiaq,380000,2018,Ojeté,243914,110,Nafta,0,Automatická,
Volkswagen,Golf,300000,2019,Ojeté,132079,85,Nafta,0,Manuální,
Volkswagen,Touran,85000,2009,Ojeté,242002,103,Benzín,0,Manuální,
Ford,Kuga,500000,2020,Ojeté,33036,110,Nafta,0,Manuální,
Ford,S-MAX,100000,2009,Ojeté,207262,103,Nafta,0,Manuální,
Škoda,Superb,340000,2015,Ojeté,172400,140,Nafta,0,Automatická,4x4
Škoda,Superb,220000,2017,Ojeté,329474,88,Nafta,0,Automatická,
Škoda,Octavia,90000,2011,Ojeté,234177,77,Benzín,0,Manuální,
Kia,Cee´d,430000,2023,Ojeté,25463,118,Benzín,0,Automatická,
MG,ZS,490000,2025,Předváděcí,19686,85,Benzín,0,Manuální,
Kia,Cee´d,160000,2018,Ojeté,152600,100,Nafta,0,Manuální,
Volkswagen,Passat,65000,2007,Ojeté,291889,77,Nafta,0,Manuální,
Hyundai,Tucson,600000,2022,Ojeté,95254,132,Benzín,0,Automatická,4x4
Renault,Mégane,14990,2007,Ojeté,172961,99,Benzín,0,Automatická,Pohon předních kol
